Date,hri
8/12/2016 16:00,32.63
8/19/2016 16:00,33.22
8/26/2016 16:00,32.82
9/2/2016 16:00,34.55
9/9/2016 16:00,34.39
9/16/2016 16:00,34
9/23/2016 16:00,33.36
9/30/2016 16:00,33.7
10/7/2016 16:00,33.61
10/14/2016 16:00,30.18
10/21/2016 16:00,29.29
10/28/2016 16:00,28.97
11/4/2016 16:00,30.54
11/11/2016 16:00,38.2
11/18/2016 16:00,37.06
11/25/2016 13:00,39.94
12/2/2016 16:00,39.87
12/9/2016 16:00,40.81
12/16/2016 16:00,41.4
12/23/2016 16:00,40.8
12/30/2016 16:00,40.16
1/6/2017 16:00,40
1/13/2017 16:00,41.67
1/20/2017 16:00,43.12
1/27/2017 16:00,49.37
2/3/2017 16:00,52.06
2/10/2017 16:00,50.71
2/17/2017 16:00,49.49
2/24/2017 16:00,49.75
3/3/2017 16:00,47.4
3/10/2017 16:00,46.53
3/17/2017 16:00,48.29
3/24/2017 16:00,46.59
3/31/2017 16:00,48.89
4/7/2017 16:00,48.39
4/13/2017 16:00,47.08
4/21/2017 16:00,45.63
4/28/2017 16:00,45.47
5/5/2017 16:00,45.6
5/12/2017 16:00,42.06
5/19/2017 16:00,35.6
5/26/2017 16:00,36.56
6/2/2017 16:00,38.82
6/9/2017 16:00,38.39
6/16/2017 16:00,37.37
6/23/2017 16:00,37.54
6/30/2017 16:00,39.32
