Date,smi
7/29/2016 16:00,4.06
8/5/2016 16:00,4.19
8/12/2016 16:00,4.91
8/19/2016 16:00,5.15
8/26/2016 16:00,5.34
9/2/2016 16:00,5.69
9/9/2016 16:00,5.49
9/16/2016 16:00,5.61
9/23/2016 16:00,5.54
9/30/2016 16:00,5.57
10/7/2016 16:00,5.82
10/14/2016 16:00,6.06
10/21/2016 16:00,6.24
10/28/2016 16:00,6.05
11/4/2016 16:00,6.94
11/11/2016 16:00,7.17
11/18/2016 16:00,6.81
11/25/2016 13:00,6.74
12/2/2016 16:00,6.38
12/9/2016 16:00,5.96
12/16/2016 16:00,6.55
12/23/2016 16:00,6.87
12/30/2016 16:00,7.62
1/6/2017 16:00,7.41
1/13/2017 16:00,6.98
1/20/2017 16:00,6.93
1/27/2017 16:00,6.95
2/3/2017 16:00,6.91
2/10/2017 16:00,7.3
2/17/2017 16:00,6.94
2/24/2017 16:00,6.68
3/3/2017 16:00,6.56
3/10/2017 16:00,6.53
3/17/2017 16:00,6.89
3/24/2017 16:00,6.57
3/31/2017 16:00,6.28
4/7/2017 16:00,6.23
4/13/2017 16:00,5.96
4/21/2017 16:00,5.96
4/28/2017 16:00,6.29
5/5/2017 16:00,6.1
5/12/2017 16:00,5.41
5/19/2017 16:00,5.45
5/26/2017 16:00,5.33
6/2/2017 16:00,5.16
6/9/2017 16:00,4.95
6/16/2017 16:00,5.68
6/23/2017 16:00,5.37
6/30/2017 16:00,5.7
