Date,ntgr
1/29/2016 16:00,37.37
2/5/2016 16:00,35.16
2/12/2016 16:00,36.3
2/19/2016 16:00,39.88
2/26/2016 16:00,39.2
3/4/2016 16:00,40.7
3/11/2016 16:00,40.21
3/18/2016 16:00,39.99
3/24/2016 16:00,39.53
4/1/2016 16:00,40.51
4/8/2016 16:00,39.03
4/15/2016 16:00,38.93
4/22/2016 16:00,39.4
4/29/2016 16:00,42.4
5/6/2016 16:00,41.18
5/13/2016 16:00,42.01
5/20/2016 16:00,42.55
5/27/2016 16:00,44.58
6/3/2016 16:00,45.51
6/10/2016 16:00,46.26
6/17/2016 16:00,46.69
6/24/2016 16:00,46.32
7/1/2016 16:00,47.89
7/8/2016 16:00,49.07
7/15/2016 16:00,49.5
7/22/2016 16:00,49.185
7/29/2016 16:00,51.43
8/5/2016 16:00,52.96
8/12/2016 16:00,54.77
8/19/2016 16:00,56.07
8/26/2016 16:00,57.065
9/2/2016 16:00,57.51
9/9/2016 16:00,57.06
9/16/2016 16:00,57.61
9/23/2016 16:00,59.51
9/30/2016 16:00,60.49
10/7/2016 16:00,55.23
10/14/2016 16:00,51.78
10/21/2016 16:00,53.4
10/28/2016 16:00,50.1
11/4/2016 16:00,49.45
11/11/2016 16:00,51.75
11/18/2016 16:00,51.35
11/25/2016 13:00,52.45
12/2/2016 16:00,53.25
12/9/2016 16:00,58.6
12/16/2016 16:00,55.6
12/23/2016 16:00,54.55
12/30/2016 16:00,54.35
1/6/2017 16:00,56.6
1/13/2017 16:00,55.25
1/20/2017 16:00,54.7
1/27/2017 16:00,57
2/3/2017 16:00,57
2/10/2017 16:00,54.35
2/17/2017 16:00,56.2
2/24/2017 16:00,55.9
3/3/2017 16:00,54.55
3/10/2017 16:00,53.35
3/17/2017 16:00,54.15
3/24/2017 16:00,51.45
3/31/2017 16:00,49.55
4/7/2017 16:00,49.1
4/13/2017 16:00,49.35
4/21/2017 16:00,50.6
4/28/2017 16:00,47.15
5/5/2017 16:00,45.35
5/12/2017 16:00,44.6
5/19/2017 16:00,43.05
5/26/2017 16:00,42.5
6/2/2017 16:00,43.35
6/9/2017 16:00,45.2
6/16/2017 16:00,43.35
6/23/2017 16:00,43.95
6/30/2017 16:00,43.1
