Date,df
8/5/2016 16:00,18.82
8/12/2016 16:00,17.47
8/19/2016 16:00,16.79
8/26/2016 16:00,16.71
9/2/2016 16:00,17.25
9/9/2016 16:00,15.88
9/16/2016 16:00,16.28
9/23/2016 16:00,16.5
9/30/2016 16:00,16.4
10/7/2016 16:00,16.23
10/14/2016 16:00,16.33
10/21/2016 16:00,16.61
10/28/2016 16:00,18.49
11/4/2016 16:00,18.46
11/11/2016 16:00,18.71
11/18/2016 16:00,19.78
11/25/2016 13:00,20.01
12/2/2016 16:00,19.2
12/9/2016 16:00,20.9
12/16/2016 16:00,21.97
12/23/2016 16:00,21.52
12/30/2016 16:00,21.78
1/6/2017 16:00,21.58
1/13/2017 16:00,20.92
1/20/2017 16:00,19.84
1/27/2017 16:00,20.14
2/3/2017 16:00,20.22
2/10/2017 16:00,20.7
2/17/2017 16:00,18.53
2/24/2017 16:00,18.45
3/3/2017 16:00,18.43
3/10/2017 16:00,18.54
3/17/2017 16:00,19.31
3/24/2017 16:00,19.05
3/31/2017 16:00,19.66
4/7/2017 16:00,19.55
4/13/2017 16:00,19.52
4/21/2017 16:00,19.74
4/28/2017 16:00,19.74
5/5/2017 16:00,19.23
5/12/2017 16:00,18.91
5/19/2017 16:00,18.14
5/26/2017 16:00,18.45
6/2/2017 16:00,18.33
6/9/2017 16:00,17.87
6/16/2017 16:00,18.01
6/23/2017 16:00,17.71
6/30/2017 16:00,17
