Date,xom
1/29/2016 16:00,77.85
2/5/2016 16:00,80.08
2/12/2016 16:00,81.03
2/19/2016 16:00,82.5
2/26/2016 16:00,81.75
3/4/2016 16:00,82.29
3/11/2016 16:00,82.19
3/18/2016 16:00,84.2
3/24/2016 16:00,83.98
4/1/2016 16:00,82.96
4/8/2016 16:00,83.21
4/15/2016 16:00,84.97
4/22/2016 16:00,87.53
4/29/2016 16:00,88.4
5/6/2016 16:00,88.51
5/13/2016 16:00,88.66
5/20/2016 16:00,89.74
5/27/2016 16:00,90.01
6/3/2016 16:00,88.37
6/10/2016 16:00,89.98
6/17/2016 16:00,90.72
6/24/2016 16:00,89.39
7/1/2016 16:00,93.84
7/8/2016 16:00,93.54
7/15/2016 16:00,95.12
7/22/2016 16:00,94.01
7/29/2016 16:00,88.95
8/5/2016 16:00,87.56
8/12/2016 16:00,87.85
8/19/2016 16:00,87.8
8/26/2016 16:00,87.27
9/2/2016 16:00,87.42
9/9/2016 16:00,86.84
9/16/2016 16:00,84.03
9/23/2016 16:00,83.45
9/30/2016 16:00,87.28
10/7/2016 16:00,86.74
10/14/2016 16:00,86.54
10/21/2016 16:00,86.62
10/28/2016 16:00,84.78
11/4/2016 16:00,83.57
11/11/2016 16:00,85.67
11/18/2016 16:00,85.28
11/25/2016 13:00,87.12
12/2/2016 16:00,87.04
12/9/2016 16:00,89
12/16/2016 16:00,91.18
12/23/2016 16:00,90.71
12/30/2016 16:00,90.26
1/6/2017 16:00,88.5
1/13/2017 16:00,86.35
1/20/2017 16:00,85.89
1/27/2017 16:00,85.51
2/3/2017 16:00,83.54
2/10/2017 16:00,82.52
2/17/2017 16:00,81.76
2/24/2017 16:00,81.08
3/3/2017 16:00,82.46
3/10/2017 16:00,81.61
3/17/2017 16:00,82
3/24/2017 16:00,81.23
3/31/2017 16:00,82.01
4/7/2017 16:00,82.76
4/13/2017 16:00,81.69
4/21/2017 16:00,80.69
4/28/2017 16:00,81.65
5/5/2017 16:00,82.02
5/12/2017 16:00,82.55
5/19/2017 16:00,81.93
5/26/2017 16:00,81.55
6/2/2017 16:00,79.5
6/9/2017 16:00,82.13
6/16/2017 16:00,83.49
6/23/2017 16:00,81.61
6/30/2017 16:00,80.73
