Date,plt
8/5/2016 16:00,50.86
8/12/2016 16:00,50.49
8/19/2016 16:00,50.15
8/26/2016 16:00,50.05
9/2/2016 16:00,51.44
9/9/2016 16:00,49.64
9/16/2016 16:00,49.69
9/23/2016 16:00,51.46
9/30/2016 16:00,51.96
10/7/2016 16:00,51.71
10/14/2016 16:00,51.02
10/21/2016 16:00,50.99
10/28/2016 16:00,51.18
11/4/2016 16:00,45.84
11/11/2016 16:00,52.55
11/18/2016 16:00,54
11/25/2016 13:00,53.64
12/2/2016 16:00,51.25
12/9/2016 16:00,55.36
12/16/2016 16:00,54.61
12/23/2016 16:00,54.24
12/30/2016 16:00,54.76
1/6/2017 16:00,55.06
1/13/2017 16:00,56.39
1/20/2017 16:00,55.14
1/27/2017 16:00,57.12
2/3/2017 16:00,53.67
2/10/2017 16:00,53.63
2/17/2017 16:00,54.57
2/24/2017 16:00,54.67
3/3/2017 16:00,53.6
3/10/2017 16:00,54.12
3/17/2017 16:00,54.46
3/24/2017 16:00,52.99
3/31/2017 16:00,54.11
4/7/2017 16:00,52.77
4/13/2017 16:00,51.47
4/21/2017 16:00,53.07
4/28/2017 16:00,54.6
5/5/2017 16:00,54.93
5/12/2017 16:00,54.03
5/19/2017 16:00,52.65
5/26/2017 16:00,53.06
6/2/2017 16:00,55.33
6/9/2017 16:00,56.09
6/16/2017 16:00,53.92
6/23/2017 16:00,53.05
6/30/2017 16:00,52.31
