date,PREM,SMB,HML,RF
20150710,-0.02,0.12,-1.33,0
20150717,2.27,-1.44,-1.71,0
20150724,-2.33,-1.44,-0.42,0
20150731,1.19,0.04,-0.81,0
20150807,-1.36,-1.21,0.89,0.001
20150814,0.69,-0.31,1.26,0.001
20150821,-5.69,1.23,0.02,0.001
20150828,1.07,0.02,-0.76,0.001
20150904,-3.08,1.45,0.13,0
20150911,2.09,-0.43,-1.52,0
20150918,-0.15,1.18,-1.78,0
20150925,-1.77,-2.71,3.69,0
20151002,0.73,-1.55,0.59,0
20151009,3.44,1.52,2.02,0
20151016,0.62,-1.24,0.08,0
20151023,1.7,-1.53,0.25,0
20151030,0.17,-0.44,-1.46,0
20151106,1.38,2.61,0.51,0.001
20151113,-3.72,-0.89,-0.06,0.001
20151120,3.14,-0.51,-0.86,0.001
20151127,0.38,2.43,-0.92,0.001
20151204,-0.19,-1.51,0.2,0.003
20151211,-3.93,-0.86,-1.63,0.003
20151218,-0.35,0.16,-0.76,0.003
20151224,2.83,0.22,0.98,0.003
20151231,-0.9,-0.78,-0.57,0.003
20160108,-6.22,-1.76,0.56,0.002
20160115,-2.55,-1.33,-0.13,0.002
20160122,1.38,0.24,-1.51,0.002
20160129,1.71,-0.67,3.78,0.002
20160205,-3.36,-1.36,1.22,0.005
20160212,-0.82,-0.5,-0.39,0.005
20160219,3.09,0.96,-1.67,0.005
20160226,1.84,1.28,-0.06,0.005
20160304,3.08,1.17,2.42,0.005
20160311,1,-0.5,1.26,0.005
20160318,1.42,-0.3,0.2,0.005
20160324,-0.8,-0.87,-0.97,0.005
20160401,2.06,1.62,-2.01,0.002
20160408,-1.17,-0.18,-1.67,0.002
20160415,1.94,0.74,2.07,0.002
20160422,0.74,0.6,1.74,0.002
20160429,-1.19,-0.1,1.75,0.002
20160506,-0.63,-1.23,-0.52,0.003
20160513,-0.52,-0.58,-0.76,0.003
20160520,0.54,0.17,0.63,0.003
20160527,2.43,1,-0.86,0.003
20160603,0.16,1.32,-1.29,0.005
20160610,-0.25,0.54,-0.08,0.005
20160617,-1.2,-0.3,-0.14,0.005
20160624,-1.6,0.3,-0.23,0.005
20160701,3.14,-0.66,-0.7,0.005
20160708,1.38,0.82,-1.4,0.005
20160715,1.6,0.59,2.3,0.005
20160722,0.6,0.03,-1.11,0.005
20160729,0.07,0.77,-0.31,0.005
20160805,0.56,0.5,0.68,0.005
20160812,0.18,-0.31,-0.09,0.005
20160819,0.15,0.39,1.47,0.005
20160826,-0.53,0.65,0.36,0.005
20160902,0.7,0.15,0.62,0.005
20160909,-2.3,0.09,0.39,0.005
20160916,0.56,0.54,-2.57,0.005
20160923,1.26,1.1,-0.25,0.005
20160930,0.21,-0.18,1.24,0.005
20161007,-0.58,-0.51,1.25,0.004
20161014,-1.12,-1.21,0.61,0.004
