,AAPL,,AMZN,,SMI,,NTGR,,PLT,,BRK.A,,XOM,,UHAL,,HRI,,DF
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
10/9/2015 16:00:00,112.12,42286.66667,539.8,42286.66667,4.75,42286.66667,32.32,42286.66667,53.3,42286.66667,199650,42286.66667,79.26,42286.66667,400.04,42286.66667,288,42286.66667,17.91
10/16/2015 16:00:00,111.04,42293.66667,570.76,42293.66667,4.87,42293.66667,32.3,42293.66667,53.2,42293.66667,200469,42293.66667,82.48,42293.66667,397.37,42293.66667,286.5,42293.66667,18.34
10/23/2015 16:00:00,119.08,42300.66667,599.03,42300.66667,4.73,42300.66667,41.85,42300.66667,54.45,42300.66667,206584,42300.66667,82.98,42300.66667,396.95,42300.66667,288.3,42300.66667,18.31
10/30/2015 16:00:00,119.5,42307.66667,625.9,42307.66667,4.65,42307.66667,41.4,42307.66667,53.62,42307.66667,204596,42307.66667,82.74,42307.66667,406.31,42307.66667,292.5,42307.66667,18.11
11/6/2015 16:00:00,121.06,42314.66667,659.37,42314.66667,4.81,42314.66667,44.48,42314.66667,53.4,42314.66667,203100,42314.66667,84.47,42314.66667,410.99,42314.66667,282.15,42314.66667,17.94
11/13/2015 16:00:00,112.34,42321.66667,642.35,42321.66667,5.22,42321.66667,43.04,42321.66667,51.27,42321.66667,197825,42321.66667,78.1,42321.66667,418.95,42321.66667,238.35,42321.66667,18.49
11/20/2015 16:00:00,119.3,42328.66667,668.45,42328.66667,5.6,42328.66667,43.23,42328.66667,52.76,42328.66667,204600,42328.66667,79.79,42328.66667,432.24,42328.66667,248.25,42328.66667,18.81
11/27/2015 16:00:00,117.81,42335.66667,673.26,42335.66667,5.29,42335.66667,43.99,42335.66667,53.23,42335.66667,201624,42335.66667,81.23,42335.66667,434.11,42335.66667,241.2,42335.66667,18.97
12/4/2015 16:00:00,119.03,42342.66667,672.64,42342.66667,5.14,42342.66667,45.5,42342.66667,53.32,42342.66667,204500,42342.66667,78.86,42342.66667,403.09,42342.66667,216.6,42342.66667,18.72
12/11/2015 16:00:00,113.18,42349.66667,640.15,42349.66667,4.96,42349.66667,43.65,42349.66667,48.78,42349.66667,195756.87,42349.66667,74.34,42349.66667,379.66,42349.66667,214.8,42349.66667,17.17
12/18/2015 16:00:00,106.03,42356.66667,664.14,42356.66667,5.13,42356.66667,42.74,42356.66667,47.81,42356.66667,194720,42356.66667,77.28,42356.66667,387.45,42356.66667,214.35,42356.66667,17.14
12/24/2015 16:00:00,108.03,42362.66667,662.79,42362.66667,5.18,42362.66667,43.03,42362.66667,48.46,42362.66667,201137,42362.66667,79.33,42362.66667,395,42362.66667,221.85,42362.66667,17.84
12/31/2015 16:00:00,105.26,42369.66667,675.89,42369.66667,5.05,42369.66667,41.91,42369.66667,47.42,42369.66667,197800,42369.66667,77.95,42369.66667,389.5,42369.66667,213.45,42369.66667,17.15
1/8/2016 16:00:00,96.96,42377.66667,607.05,42377.66667,4.62,42377.66667,37.08,42377.66667,43.81,42377.66667,193900,42377.66667,74.69,42377.66667,361.9,42377.66667,177.75,42377.66667,17.71
1/15/2016 16:00:00,97.13,42384.66667,570.18,42384.66667,4.48,42384.66667,36.37,42384.66667,43.05,42384.66667,190000,42384.66667,77.58,42384.66667,352.5,42384.66667,145.8,42384.66667,18.07
1/22/2016 16:00:00,101.42,42391.66667,596.38,42391.66667,4.45,42391.66667,37.27,42391.66667,43.26,42391.66667,191395.99,42391.66667,76.57,42391.66667,357.46,42391.66667,146.25,42391.66667,18.9
1/29/2016 16:00:00,97.34,42398.66667,587,42398.66667,4.31,42398.66667,37.37,42398.66667,44.83,42398.66667,194360.05,42398.66667,77.85,42398.66667,366.65,42398.66667,136.2,42398.66667,19.98
2/5/2016 16:00:00,94.02,42405.66667,502.13,42405.66667,4.34,42405.66667,35.16,42405.66667,33.48,42405.66667,190820,42405.66667,80.08,42405.66667,323.91,42405.66667,124.95,42405.66667,19.3
2/12/2016 16:00:00,93.99,42412.66667,507.08,42412.66667,4.17,42412.66667,36.3,42412.66667,35.06,42412.66667,193999,42412.66667,81.03,42412.66667,320.61,42412.66667,112.35,42412.66667,20.67
2/19/2016 16:00:00,96.04,42419.66667,534.9,42419.66667,4.17,42419.66667,39.88,42419.66667,36.67,42419.66667,197310.25,42419.66667,82.5,42419.66667,343.19,42419.66667,124.5,42419.66667,20.47
2/26/2016 16:00:00,96.91,42426.66667,555.23,42426.66667,4.24,42426.66667,39.2,42426.66667,37.79,42426.66667,198190.5,42426.66667,81.75,42426.66667,348.71,42426.66667,124.05,42426.66667,19.29
3/4/2016 16:00:00,103.01,42433.66667,575.14,42433.66667,4.5,42433.66667,40.7,42433.66667,38.52,42433.66667,207945,42433.66667,82.29,42433.66667,350.42,42433.66667,157.05,42433.66667,19.32
3/11/2016 16:00:00,102.26,42440.66667,569.61,42440.66667,4.4,42440.66667,40.21,42440.66667,37.79,42440.66667,211600,42440.66667,82.19,42440.66667,346.7,42440.66667,166.2,42440.66667,19.44
3/18/2016 16:00:00,105.92,42447.66667,552.08,42447.66667,4.4,42447.66667,39.99,42447.66667,37.32,42447.66667,213330,42447.66667,84.2,42447.66667,347.61,42447.66667,171.75,42447.66667,19.58
3/24/2016 16:00:00,105.67,42453.66667,582.95,42453.66667,4.4,42453.66667,39.53,42453.66667,37.48,42453.66667,210530,42453.66667,83.98,42453.66667,345.03,42453.66667,157.65,42453.66667,17.15
4/1/2016 16:00:00,109.99,42461.66667,598.5,42461.66667,4.44,42461.66667,40.51,42461.66667,39.36,42461.66667,215740,42461.66667,82.96,42461.66667,360.33,42461.66667,153,42461.66667,17.36
4/8/2016 16:00:00,108.66,42468.66667,594.6,42468.66667,4.35,42468.66667,39.03,42468.66667,37.58,42468.66667,211705,42468.66667,83.21,42468.66667,338.49,42468.66667,145.5,42468.66667,17.22
4/15/2016 16:00:00,109.85,42475.66667,625.89,42475.66667,4.43,42475.66667,38.93,42475.66667,38.08,42475.66667,215110,42475.66667,84.97,42475.66667,345,42475.66667,130.5,42475.66667,17.41
4/22/2016 16:00:00,105.68,42482.66667,620.5,42482.66667,4.31,42482.66667,39.4,42482.66667,39.27,42482.66667,219038,42482.66667,87.53,42482.66667,357.1,42482.66667,137.55,42482.66667,16.67
4/29/2016 16:00:00,93.74,42489.66667,659.59,42489.66667,4.14,42489.66667,42.4,42489.66667,38.45,42489.66667,219000,42489.66667,88.4,42489.66667,352,42489.66667,138.9,42489.66667,17.23
5/6/2016 16:00:00,92.72,42496.66667,673.95,42496.66667,3.98,42496.66667,41.18,42496.66667,42.42,42496.66667,216999.99,42496.66667,88.51,42496.66667,358,42496.66667,135,42496.66667,18.07
5/13/2016 16:00:00,90.52,42503.66667,709.92,42503.66667,4.03,42503.66667,42.01,42503.66667,42.18,42503.66667,212140,42503.66667,88.66,42503.66667,357.34,42503.66667,115.5,42503.66667,18.58
5/20/2016 16:00:00,95.22,42510.66667,702.8,42510.66667,4.12,42510.66667,42.55,42510.66667,42.65,42510.66667,212833,42510.66667,89.74,42510.66667,368.25,42510.66667,130.5,42510.66667,18.02
5/27/2016 16:00:00,100.35,42517.66667,712.24,42517.66667,4.2,42517.66667,44.58,42517.66667,44.31,42517.66667,214303,42517.66667,90.01,42517.66667,373.44,42517.66667,138.6,42517.66667,18.52
6/3/2016 16:00:00,97.92,42524.66667,725.54,42524.66667,4.26,42524.66667,45.51,42524.66667,45.31,42524.66667,211615,42524.66667,88.37,42524.66667,373.67,42524.66667,150.75,42524.66667,18.66
6/10/2016 16:00:00,98.83,42531.66667,717.91,42531.66667,4.17,42531.66667,46.26,42531.66667,44.57,42531.66667,212622,42531.66667,89.98,42531.66667,369.25,42531.66667,160.2,42531.66667,17.78
6/17/2016 16:00:00,95.33,42538.66667,706.39,42538.66667,3.93,42538.66667,46.69,42538.66667,44.13,42538.66667,211200,42538.66667,90.72,42538.66667,355.6,42538.66667,157.95,42538.66667,17.58
6/24/2016 16:00:00,93.4,42545.66667,698.96,42545.66667,3.94,42545.66667,46.32,42545.66667,42.98,42545.66667,209852,42545.66667,89.39,42545.66667,364.8,42545.66667,160.95,42545.66667,17.45
7/1/2016 16:00:00,95.89,42552.66667,725.68,42552.66667,4.07,42552.66667,47.89,42552.66667,43.42,42552.66667,216298,42552.66667,93.84,42552.66667,370.92,42552.66667,33.05,42552.66667,18.11
7/8/2016 16:00:00,96.68,42559.66667,745.81,42559.66667,4.05,42559.66667,49.07,42559.66667,44.81,42559.66667,214720,42559.66667,93.54,42559.66667,385.73,42559.66667,31.88,42559.66667,19.2
7/15/2016 16:00:00,98.78,42566.66667,735.44,42566.66667,4.18,42566.66667,49.5,42566.66667,46.73,42566.66667,218990,42566.66667,95.12,42566.66667,386.69,42566.66667,33.47,42566.66667,18.59
7/22/2016 16:00:00,98.66,42573.66667,744.86,42573.66667,4.2,42573.66667,49.185,42573.66667,47.39,42573.66667,216805,42573.66667,94.01,42573.66667,390,42573.66667,35.24,42573.66667,18.55
7/29/2016 16:00:00,104.21,42580.66667,758.81,42580.66667,4.06,42580.66667,51.43,42580.66667,48.24,42580.66667,216000,42580.66667,88.95,42580.66667,395.51,42580.66667,35.35,42580.66667,18.46
8/5/2016 16:00:00,107.48,42587.66667,765.98,42587.66667,4.19,42587.66667,52.96,42587.66667,50.86,42587.66667,218010,42587.66667,87.56,42587.66667,355.81,42587.66667,37.15,42587.66667,18.82
8/12/2016 16:00:00,108.18,42594.66667,772.56,42594.66667,4.91,42594.66667,54.77,42594.66667,50.49,42594.66667,221750,42594.66667,87.85,42594.66667,347.98,42594.66667,32.63,42594.66667,17.47
8/19/2016 16:00:00,109.36,42601.66667,757.31,42601.66667,5.15,42601.66667,56.07,42601.66667,50.15,42601.66667,223040,42601.66667,87.8,42601.66667,350.5,42601.66667,33.22,42601.66667,16.79
8/26/2016 16:00:00,106.94,42608.66667,769,42608.66667,5.34,42608.66667,57.065,42608.66667,50.05,42608.66667,222040,42608.66667,87.27,42608.66667,337.06,42608.66667,32.82,42608.66667,16.71
9/2/2016 16:00:00,107.73,42615.66667,772.44,42615.66667,5.69,42615.66667,57.51,42615.66667,51.44,42615.66667,226050,42615.66667,87.42,42615.66667,347.74,42615.66667,34.55,42615.66667,17.25
9/9/2016 16:00:00,103.13,42622.66667,760.14,42622.66667,5.49,42622.66667,57.06,42622.66667,49.64,42622.66667,220109.99,42622.66667,86.84,42622.66667,331.42,42622.66667,34.39,42622.66667,15.88
9/16/2016 16:00:00,114.92,42629.66667,778.52,42629.66667,5.61,42629.66667,57.61,42629.66667,49.69,42629.66667,218400,42629.66667,84.03,42629.66667,321.32,42629.66667,34,42629.66667,16.28
9/23/2016 16:00:00,112.71,42636.66667,805.75,42636.66667,5.54,42636.66667,59.51,42636.66667,51.46,42636.66667,217750,42636.66667,83.45,42636.66667,337.54,42636.66667,33.36,42636.66667,16.5
9/30/2016 16:00:00,113.05,42643.66667,837.31,42643.66667,5.57,42643.66667,60.49,42643.66667,51.96,42643.66667,216220,42643.66667,87.28,42643.66667,324.23,42643.66667,33.7,42643.66667,16.4
10/7/2016 16:00:00,114.06,42650.66667,839.43,42650.66667,5.82,42650.66667,55.23,42650.66667,51.71,42650.66667,216640,42650.66667,86.74,42650.66667,334.93,42650.66667,33.61,42650.66667,16.23
10/14/2016 16:00:00,117.63,42657.66667,822.96,42657.66667,6.06,42657.66667,51.78,42657.66667,51.02,42657.66667,216370,42657.66667,86.54,42657.66667,333.85,42657.66667,30.18,42657.66667,16.33
10/21/2016 16:00:00,116.6,42664.66667,818.99,42664.66667,6.24,42664.66667,53.4,42664.66667,50.99,42664.66667,215600,42664.66667,86.62,42664.66667,330.96,42664.66667,29.29,42664.66667,16.61
10/28/2016 16:00:00,113.72,42671.66667,776.32,42671.66667,6.05,42671.66667,50.1,42671.66667,51.18,42671.66667,216200,42671.66667,84.78,42671.66667,319.68,42671.66667,28.97,42671.66667,18.49
11/4/2016 16:00:00,108.84,42678.66667,755.05,42678.66667,6.94,42678.66667,49.45,42678.66667,45.84,42678.66667,214545,42678.66667,83.57,42678.66667,315.47,42678.66667,30.54,42678.66667,18.46
11/11/2016 16:00:00,108.43,42685.66667,739.01,42685.66667,7.17,42685.66667,51.75,42685.66667,52.55,42685.66667,234860,42685.66667,85.67,42685.66667,325.77,42685.66667,38.2,42685.66667,18.71
11/18/2016 16:00:00,110.06,42692.66667,760.16,42692.66667,6.81,42692.66667,51.35,42692.66667,54,42692.66667,236391,42692.66667,85.28,42692.66667,343.73,42692.66667,37.06,42692.66667,19.78
11/25/2016 13:00:00,111.79,42699.54167,780.37,42699.54167,6.74,42699.54167,52.45,42699.54167,53.64,42699.54167,237085,42699.54167,87.12,42699.54167,345,42699.54167,39.94,42699.54167,20.01
12/2/2016 16:00:00,109.9,42706.66667,740.34,42706.66667,6.38,42706.66667,53.25,42706.66667,51.25,42706.66667,239070,42706.66667,87.04,42706.66667,348.64,42706.66667,39.87,42706.66667,19.2
12/9/2016 16:00:00,113.95,42713.66667,768.66,42713.66667,5.96,42713.66667,58.6,42713.66667,55.36,42713.66667,247190,42713.66667,89,42713.66667,372.06,42713.66667,40.81,42713.66667,20.9
12/16/2016 16:00:00,115.97,42720.66667,757.77,42720.66667,6.55,42720.66667,55.6,42720.66667,54.61,42720.66667,246405,42720.66667,91.18,42720.66667,369.99,42720.66667,41.4,42720.66667,21.97
12/23/2016 16:00:00,116.52,42727.66667,760.59,42727.66667,6.87,42727.66667,54.55,42727.66667,54.24,42727.66667,248000,42727.66667,90.71,42727.66667,371.16,42727.66667,40.8,42727.66667,21.52
12/30/2016 16:00:00,115.82,42734.66667,749.87,42734.66667,7.62,42734.66667,54.35,42734.66667,54.76,42734.66667,244121,42734.66667,90.26,42734.66667,369.59,42734.66667,40.16,42734.66667,21.78
1/6/2017 16:00:00,117.91,42741.66667,795.99,42741.66667,7.41,42741.66667,56.6,42741.66667,55.06,42741.66667,245394,42741.66667,88.5,42741.66667,370.12,42741.66667,40,42741.66667,21.58
1/13/2017 16:00:00,119.04,42748.66667,817.14,42748.66667,6.98,42748.66667,55.25,42748.66667,56.39,42748.66667,242500.05,42748.66667,86.35,42748.66667,369.09,42748.66667,41.67,42748.66667,20.92
1/20/2017 16:00:00,120,42755.66667,808.33,42755.66667,6.93,42755.66667,54.7,42755.66667,55.14,42755.66667,240280,42755.66667,85.89,42755.66667,368.54,42755.66667,43.12,42755.66667,19.84
1/27/2017 16:00:00,121.95,42762.66667,835.77,42762.66667,6.95,42762.66667,57,42762.66667,57.12,42762.66667,246999.99,42762.66667,85.51,42762.66667,380.65,42762.66667,49.37,42762.66667,20.14
2/3/2017 16:00:00,129.08,42769.66667,810.2,42769.66667,6.91,42769.66667,57,42769.66667,53.67,42769.66667,245646,42769.66667,83.54,42769.66667,375.44,42769.66667,52.06,42769.66667,20.22
2/10/2017 16:00:00,132.12,42776.66667,827.46,42776.66667,7.3,42776.66667,54.35,42776.66667,53.63,42776.66667,246000,42776.66667,82.52,42776.66667,373.69,42776.66667,50.71,42776.66667,20.7
2/17/2017 16:00:00,135.72,42783.66667,845.07,42783.66667,6.94,42783.66667,56.2,42783.66667,54.57,42783.66667,252838,42783.66667,81.76,42783.66667,381.21,42783.66667,49.49,42783.66667,18.53
2/24/2017 16:00:00,136.66,42790.66667,845.24,42790.66667,6.68,42790.66667,55.9,42790.66667,54.67,42790.66667,255040,42790.66667,81.08,42790.66667,384.19,42790.66667,49.75,42790.66667,18.45
3/3/2017 16:00:00,139.78,42797.66667,849.88,42797.66667,6.56,42797.66667,54.55,42797.66667,53.6,42797.66667,263160,42797.66667,82.46,42797.66667,382.2,42797.66667,47.4,42797.66667,18.43
3/10/2017 16:00:00,139.14,42804.66667,852.46,42804.66667,6.53,42804.66667,53.35,42804.66667,54.12,42804.66667,262491,42804.66667,81.61,42804.66667,375.46,42804.66667,46.53,42804.66667,18.54
3/17/2017 16:00:00,139.99,42811.66667,852.31,42811.66667,6.89,42811.66667,54.15,42811.66667,54.46,42811.66667,258952,42811.66667,82,42811.66667,372.68,42811.66667,48.29,42811.66667,19.31
3/24/2017 16:00:00,140.64,42818.66667,845.61,42818.66667,6.57,42818.66667,51.45,42818.66667,52.99,42818.66667,252301,42818.66667,81.23,42818.66667,373.7,42818.66667,46.59,42818.66667,19.05
3/31/2017 16:00:00,143.66,42825.66667,886.54,42825.66667,6.28,42825.66667,49.55,42825.66667,54.11,42825.66667,249850,42825.66667,82.01,42825.66667,381.19,42825.66667,48.89,42825.66667,19.66
4/7/2017 16:00:00,143.34,42832.66667,894.88,42832.66667,6.23,42832.66667,49.1,42832.66667,52.77,42832.66667,249465,42832.66667,82.76,42832.66667,361.19,42832.66667,48.39,42832.66667,19.55
4/13/2017 16:00:00,141.05,42838.66667,884.67,42838.66667,5.96,42838.66667,49.35,42838.66667,51.47,42838.66667,245000,42838.66667,81.69,42838.66667,359.99,42838.66667,47.08,42838.66667,19.52
4/21/2017 16:00:00,142.27,42846.66667,898.53,42846.66667,5.96,42846.66667,50.6,42846.66667,53.07,42846.66667,245550,42846.66667,80.69,42846.66667,364.55,42846.66667,45.63,42846.66667,19.74
4/28/2017 16:00:00,143.65,42853.66667,924.99,42853.66667,6.29,42853.66667,47.15,42853.66667,54.6,42853.66667,247780,42853.66667,81.65,42853.66667,374.46,42853.66667,45.47,42853.66667,19.74
5/5/2017 16:00:00,148.96,42860.66667,934.15,42860.66667,6.1,42860.66667,45.35,42860.66667,54.93,42860.66667,250000,42860.66667,82.02,42860.66667,369.46,42860.66667,45.6,42860.66667,19.23
5/12/2017 16:00:00,156.1,42867.66667,961.35,42867.66667,5.41,42867.66667,44.6,42867.66667,54.03,42867.66667,245220,42867.66667,82.55,42867.66667,362.14,42867.66667,42.06,42867.66667,18.91
5/19/2017 16:00:00,153.06,42874.66667,959.84,42874.66667,5.45,42874.66667,43.05,42874.66667,52.65,42874.66667,244910,42874.66667,81.93,42874.66667,378.74,42874.66667,35.6,42874.66667,18.14
5/26/2017 16:00:00,153.61,42881.66667,995.78,42881.66667,5.33,42881.66667,42.5,42881.66667,53.06,42881.66667,248540,42881.66667,81.55,42881.66667,348.29,42881.66667,36.56,42881.66667,18.45
6/2/2017 16:00:00,155.45,42888.66667,1006.73,42888.66667,5.16,42888.66667,43.35,42888.66667,55.33,42888.66667,249660,42888.66667,79.5,42888.66667,356.45,42888.66667,38.82,42888.66667,18.33
6/9/2017 16:00:00,148.98,42895.66667,978.31,42895.66667,4.95,42895.66667,45.2,42895.66667,56.09,42895.66667,254965,42895.66667,82.13,42895.66667,358.11,42895.66667,38.39,42895.66667,17.87
6/16/2017 16:00:00,142.27,42902.66667,987.71,42902.66667,5.68,42902.66667,43.35,42902.66667,53.92,42902.66667,256450.1,42902.66667,83.49,42902.66667,350.95,42902.66667,37.37,42902.66667,18.01
6/23/2017 16:00:00,146.28,42909.66667,1003.74,42909.66667,5.37,42909.66667,43.95,42909.66667,53.05,42909.66667,251800,42909.66667,81.61,42909.66667,340.72,42909.66667,37.54,42909.66667,17.71
6/30/2017 16:00:00,144.02,42916.66667,968,42916.66667,5.7,42916.66667,43.1,42916.66667,52.31,42916.66667,254700,42916.66667,80.73,42916.66667,366.06,42916.66667,39.32,42916.66667,17
